Date,Variety,Price_Rs_per_Quintal,Market_Demand,Supply_Status
2015-01-01,BPT-5204,2100,High,Normal
2015-01-01,JGL-1798,1973,Low,Deficit
2015-01-01,IR-64,1916,High,Deficit
2015-01-01,Jyothi,1714,Medium,Normal
2015-01-01,MTU-1010,2065,Low,Deficit
2015-01-08,BPT-5204,1984,High,Normal
2015-01-08,JGL-1798,1843,High,Deficit
2015-01-08,IR-64,1777,Low,Surplus
2015-01-08,Jyothi,1831,Low,Surplus
2015-01-08,MTU-1010,1969,Low,Deficit
2015-01-15,BPT-5204,1962,Low,Deficit
2015-01-15,JGL-1798,1886,Medium,Normal
2015-01-15,IR-64,1883,Medium,Surplus
2015-01-15,Jyothi,1811,High,Normal
2015-01-15,MTU-1010,1909,Low,Surplus
2015-01-22,BPT-5204,2072,High,Deficit
2015-01-22,JGL-1798,1842,Medium,Surplus
2015-01-22,IR-64,1853,Medium,Surplus
2015-01-22,Jyothi,1696,Medium,Deficit
2015-01-22,MTU-1010,1895,High,Surplus
2015-01-29,BPT-5204,2073,High,Deficit
2015-01-29,JGL-1798,1949,Low,Deficit
2015-01-29,IR-64,1783,Medium,Surplus
2015-01-29,Jyothi,1761,Medium,Normal
2015-01-29,MTU-1010,1981,Medium,Surplus
2015-02-05,BPT-5204,2214,Medium,Deficit
2015-02-05,JGL-1798,2112,High,Deficit
2015-02-05,IR-64,2070,Low,Normal
2015-02-05,Jyothi,1920,Medium,Deficit
2015-02-05,MTU-1010,2167,High,Deficit
2015-02-12,BPT-5204,2151,High,Surplus
2015-02-12,JGL-1798,2154,Medium,Normal
2015-02-12,IR-64,1907,Low,Normal
2015-02-12,Jyothi,1939,Medium,Deficit
2015-02-12,MTU-1010,2244,Medium,Deficit
2015-02-19,BPT-5204,2141,Low,Surplus
2015-02-19,JGL-1798,2001,High,Normal
2015-02-19,IR-64,2042,High,Normal
2015-02-19,Jyothi,1947,High,Normal
2015-02-19,MTU-1010,2080,High,Normal
2015-02-26,BPT-5204,2180,High,Normal
2015-02-26,JGL-1798,2100,Low,Normal
2015-02-26,IR-64,1957,Low,Surplus
2015-02-26,Jyothi,1971,Low,Normal
2015-02-26,MTU-1010,2236,Medium,Normal
2015-03-05,BPT-5204,2098,High,Normal
2015-03-05,JGL-1798,2008,Low,Deficit
2015-03-05,IR-64,2060,High,Deficit
