Year,Numeric_Year,Season,District,Region,Soil_Quality,Area_Hectares,Production_Tonnes,Yield_Kg_per_Ha,Irrigation_Percent,Rainfall_mm,Temperature_Celsius,Humidity_Percent,Soil_pH,Soil_Organic_Carbon_Percent,Soil_Nitrogen_kg_per_ha,Soil_Phosphorus_kg_per_ha,Soil_Potassium_kg_per_ha,Urea_Applied_kg_per_ha,DAP_Applied_kg_per_ha,Potash_Applied_kg_per_ha,Organic_Fertilizer_kg_per_ha,Pest_Incidence,Disease_Incidence,Pesticide_Sprays,Seed_Variety,Sowing_Method,Water_Management,Weed_Management,Labor_Days_per_ha,Tractor_Hours_per_ha,Harvester_Used,Cost_of_Cultivation_Rs_per_ha,Market_Price_Rs_per_quintal,Gross_Revenue_Rs_per_ha,Net_Income_Rs_per_ha
2009-10,2009,Kharif,Bagalkot,North,medium,46737,132920,2844,69,1159,24.8,67,6.21,0.35,261.1,20.9,188.6,104,53,35,947,Low,High,6,BPT-5204,SRI,Flood Irrigation,Mixed,149,28,Yes,49719,2403,68341,18622
2009-10,2009,Rabi,Bagalkot,North,medium,16880,53729,3183,69,103,29.6,65,7.05,0.47,173.3,29.1,150.5,111,98,36,1235,Medium,High,4,MTU-1010,Transplanting,Sprinkler,Herbicide,148,18,No,37582,2365,75277,37695
2009-10,2009,Kharif,Ballari,North,high,63976,320327,5007,80,1033,30.9,71,6.87,0.65,156.9,14.6,143.4,110,79,36,1278,Medium,Medium,4,JGL-1798,Direct Seeding,Drip,Manual,114,37,Yes,54960,2450,122671,67711
2009-10,2009,Rabi,Ballari,North,high,28850,120160,4165,80,225,23.6,72,6.4,0.76,253.2,14.4,148.6,198,57,44,565,Medium,Medium,4,BPT-5204,Transplanting,Sprinkler,Mixed,120,21,No,47964,2458,102375,54411
2009-10,2009,Kharif,Belagavi,North,medium-low,39045,89686,2297,58,542,24.5,77,6.81,0.67,214.3,21.7,154.3,117,115,61,686,Low,Low,3,Rasi,Transplanting,Sprinkler,Herbicide,88,27,No,54526,2279,52348,-2177
2009-10,2009,Rabi,Belagavi,North,medium-low,22636,48757,2154,58,383,30.6,60,7.02,0.36,282.7,25.0,215.3,143,64,48,1390,Low,Medium,2,Rasi,SRI,Drip,Mixed,102,31,Yes,44779,2454,52859,8080
2009-10,2009,Kharif,Bengaluru Rural,South,medium,41125,121935,2965,63,556,25.7,65,6.81,0.69,229.6,10.0,148.6,102,64,53,1129,Low,Low,3,Intan,Transplanting,Flood Irrigation,Mixed,142,17,Yes,39207,2475,73383,34176
2009-10,2009,Rabi,Bengaluru Rural,South,medium,21401,63047,2946,63,184,24.7,79,6.63,0.41,230.9,24.6,130.2,139,101,72,1830,Medium,Medium,6,Jyothi,Transplanting,Flood Irrigation,Manual,88,25,Yes,54277,2367,69731,15454
2009-10,2009,Kharif,Bidar,North,medium-low,29302,72991,2491,54,407,22.7,80,6.09,0.33,154.7,16.6,177.1,135,112,43,1604,Low,High,6,Intan,Direct Seeding,Flood Irrigation,Herbicide,132,21,Yes,38176,2474,61627,23451
2009-10,2009,Rabi,Bidar,North,medium-low,20386,42790,2099,54,310,26.7,83,6.08,0.63,246.9,11.2,209.2,113,81,42,889,High,Medium,3,Jyothi,Transplanting,Drip,Herbicide,111,17,No,53033,1900,39881,-13152
2009-10,2009,Kharif,Chamarajanagar,South,medium,21654,61800,2854,60,953,30.4,62,7.39,0.72,174.9,19.7,132.1,151,57,40,1276,Low,Medium,4,MTU-1010,Direct Seeding,Drip,Herbicide,142,19,Yes,44722,2022,57707,12985
2009-10,2009,Rabi,Chamarajanagar,South,medium,11841,29934,2528,60,377,22.6,70,6.09,0.59,225.4,27.1,123.6,165,60,41,640,High,Low,3,Jyothi,Transplanting,Sprinkler,Manual,85,34,Yes,48737,2473,62517,13780
2009-10,2009,Kharif,Chikkaballapura,South,medium,44362,122971,2772,59,723,31.3,66,7.0,0.46,189.8,12.6,196.8,158,90,78,648,Low,Medium,6,Intan,Transplanting,Flood Irrigation,Mixed,107,31,No,39340,2157,59792,20452
2009-10,2009,Rabi,Chikkaballapura,South,medium,30704,65767,2142,59,225,25.7,65,6.66,0.57,195.4,29.7,221.1,167,51,72,1635,Medium,High,2,JGL-1798,Direct Seeding,Flood Irrigation,Manual,150,19,No,44232,2419,51814,7582
2009-10,2009,Kharif,Chikkamagaluru,South,medium,28471,97029,3408,65,608,28.9,68,6.76,0.43,286.2,11.0,195.1,135,55,30,1183,Low,High,4,JGL-1798,SRI,Drip,Mixed,134,32,Yes,38665,1877,63968,25303
2009-10,2009,Rabi,Chikkamagaluru,South,medium,30755,94141,3061,65,176,27.5,71,6.87,0.37,169.1,16.2,234.8,105,95,43,1896,Low,High,2,IR-64,SRI,Drip,Mixed,99,22,Yes,40801,2222,68015,27214
2009-10,2009,Kharif,Chitradurga,Central,medium-low,20555,49064,2387,58,740,29.8,73,7.2,0.73,271.6,15.3,218.1,113,98,32,1463,Low,Low,5,IR-64,Direct Seeding,Flood Irrigation,Manual,83,36,Yes,48056,2136,50986,2930
2009-10,2009,Rabi,Chitradurga,Central,medium-low,16890,44758,2650,58,242,25.5,76,6.6,0.79,230.4,28.8,117.3,133,72,67,1043,Low,Low,6,Jyothi,Direct Seeding,Sprinkler,Herbicide,135,34,Yes,47622,2390,63335,15713
2009-10,2009,Kharif,Dakshina Kannada,Coastal,medium-low,27596,63305,2294,55,1125,26.4,76,7.39,0.57,257.9,24.8,200.6,146,105,34,1860,Medium,High,4,Rasi,Transplanting,Sprinkler,Herbicide,144,24,No,45688,2212,50743,5055
2009-10,2009,Rabi,Dakshina Kannada,Coastal,medium-low,26492,55712,2103,55,165,23.9,81,7.41,0.64,285.4,22.3,145.1,170,50,49,1087,Low,Medium,6,Intan,SRI,Drip,Herbicide,136,29,Yes,51750,2284,48032,-3717
2009-10,2009,Kharif,Davanagere,Central,high,101700,407817,4010,78,486,24.8,81,6.95,0.47,272.8,25.0,200.9,128,75,39,550,Low,Low,5,Intan,Transplanting,Drip,Herbicide,104,37,No,51199,2209,88580,37381
2009-10,2009,Rabi,Davanagere,Central,high,32192,115923,3601,78,102,30.9,84,7.33,0.69,182.8,26.1,204.4,159,56,65,1010,Low,Medium,3,MTU-1010,Direct Seeding,Sprinkler,Mixed,120,39,No,51540,2236,80518,28978
2009-10,2009,Kharif,Dharwad,North,medium,54880,188128,3428,67,856,31.0,83,7.29,0.53,262.8,26.8,141.6,199,116,61,1783,Low,Medium,5,BPT-5204,SRI,Drip,Manual,114,25,No,52699,1882,64514,11815
