Date,District,Temperature_Max_C,Temperature_Min_C,Temperature_Avg_C,Rainfall_mm,Humidity_Percent,Wind_Speed_kmph,Sunshine_Hours
2015-01-01,Koppal,22.6,14.9,21.1,16.8,77,9.1,0.2
2015-01-01,Ballari,25.3,17.3,21.4,1.2,56,6.9,5.8
2015-01-01,Raichur,23.4,17.9,22.9,2.1,52,10.8,10.1
2015-01-01,Mandya,23.9,14.4,20.0,16.9,54,6.8,2.7
2015-01-01,Mysuru,28.4,15.5,23.4,4.5,95,9.4,11.8
2015-01-01,Hassan,27.1,17.6,23.7,1.9,84,7.5,8.4
2015-01-01,Davanagere,23.5,12.2,19.5,2.1,46,13.2,3.1
2015-01-01,Shivamogga,24.3,14.9,22.2,18.8,82,4.0,1.6
2015-01-01,Dharwad,24.8,14.7,21.7,13.5,78,11.0,8.0
2015-01-01,Belagavi,28.8,19.8,25.1,13.7,66,14.0,1.6
2015-01-02,Koppal,22.1,16.4,21.1,0.1,67,9.2,8.4
2015-01-02,Ballari,26.0,21.7,25.4,2.1,46,10.8,3.3
2015-01-02,Raichur,26.5,17.2,23.4,18.6,66,7.3,4.5
2015-01-02,Mandya,24.1,12.8,19.5,16.1,65,7.7,8.6
2015-01-02,Mysuru,28.3,21.2,24.3,3.5,80,8.5,6.8
2015-01-02,Hassan,26.1,17.8,21.2,8.2,89,9.5,10.8
2015-01-02,Davanagere,19.2,11.0,18.1,3.3,45,4.6,6.7
2015-01-02,Shivamogga,26.1,20.3,25.6,8.7,87,6.8,2.7
2015-01-02,Dharwad,27.5,15.8,23.3,11.6,76,10.3,11.3
2015-01-02,Belagavi,27.6,18.8,23.9,17.2,85,8.9,3.2
2015-01-03,Koppal,27.0,17.0,23.3,16.9,66,13.0,11.2
2015-01-03,Ballari,22.3,15.3,18.6,10.0,41,12.7,3.4
2015-01-03,Raichur,22.9,12.0,18.3,15.7,79,12.5,1.9
2015-01-03,Mandya,28.5,20.9,26.0,13.6,52,4.0,6.0
2015-01-03,Mysuru,20.6,15.1,18.9,2.9,47,8.2,9.1
2015-01-03,Hassan,22.5,14.7,21.4,7.3,60,9.1,0.5
2015-01-03,Davanagere,26.8,20.8,24.3,6.0,83,11.9,9.8
2015-01-03,Shivamogga,22.0,17.5,21.8,13.2,43,3.5,0.6
2015-01-03,Dharwad,24.9,20.2,24.7,8.9,72,12.7,0.3
2015-01-03,Belagavi,29.2,18.9,25.1,5.5,63,14.5,0.7
2015-01-04,Koppal,24.4,17.1,22.3,19.3,92,6.3,8.0
2015-01-04,Ballari,27.2,17.3,22.3,14.9,65,12.1,10.3
2015-01-04,Raichur,25.5,15.0,21.8,7.9,56,5.9,8.8
2015-01-04,Mandya,28.1,19.1,26.0,15.4,78,5.1,1.3
2015-01-04,Mysuru,25.3,15.0,20.8,19.2,90,2.3,9.6
2015-01-04,Hassan,20.7,13.5,19.6,12.1,76,8.0,1.5
2015-01-04,Davanagere,26.5,20.7,24.3,12.3,87,2.1,6.4
2015-01-04,Shivamogga,27.8,18.6,24.2,18.5,77,12.6,6.1
2015-01-04,Dharwad,22.2,15.7,20.3,3.2,47,13.8,7.1
2015-01-04,Belagavi,22.4,15.1,22.2,14.5,71,13.9,11.0
2015-01-05,Koppal,21.7,13.1,19.5,5.8,94,5.6,3.8
2015-01-05,Ballari,22.3,13.9,21.1,14.4,58,8.1,2.4
2015-01-05,Raichur,21.5,13.8,18.3,17.0,52,4.5,8.0
2015-01-05,Mandya,24.8,18.9,21.9,6.6,86,10.8,11.0
2015-01-05,Mysuru,24.2,16.4,22.6,10.2,87,6.7,1.2
2015-01-05,Hassan,21.4,12.3,20.1,9.9,87,5.0,5.7
2015-01-05,Davanagere,25.0,19.2,22.8,19.0,79,12.1,11.3
2015-01-05,Shivamogga,22.6,11.6,18.9,18.4,73,4.3,7.9
2015-01-05,Dharwad,23.6,18.2,22.0,2.7,48,12.4,5.0
2015-01-05,Belagavi,23.1,14.4,18.4,15.1,84,3.5,1.0
2015-01-06,Koppal,21.8,15.0,21.0,0.4,85,11.3,9.0
2015-01-06,Ballari,25.2,17.2,24.1,9.7,67,6.5,5.9
2015-01-06,Raichur,29.9,21.9,25.3,0.9,55,13.8,5.7
2015-01-06,Mandya,22.7,16.1,20.9,5.4,82,13.8,1.9
2015-01-06,Mysuru,25.7,18.9,23.0,3.0,52,3.1,9.5
2015-01-06,Hassan,24.6,17.0,23.4,12.6,89,8.8,11.7
2015-01-06,Davanagere,27.9,21.1,24.6,18.1,74,11.1,2.9
2015-01-06,Shivamogga,25.9,18.0,25.5,6.8,56,5.1,10.2
2015-01-06,Dharwad,24.4,15.9,20.5,17.5,79,6.2,2.4
2015-01-06,Belagavi,24.9,16.9,21.6,0.0,41,7.9,3.4
2015-01-07,Koppal,23.9,14.0,19.8,5.7,70,13.2,5.4
2015-01-07,Ballari,23.5,14.8,22.3,14.4,94,10.6,5.4
2015-01-07,Raichur,22.1,13.9,19.9,17.2,86,12.2,1.5
2015-01-07,Mandya,27.0,16.4,24.3,1.9,66,3.2,6.2
2015-01-07,Mysuru,24.4,15.5,23.1,15.5,87,9.1,4.2
2015-01-07,Hassan,22.0,12.1,18.9,15.6,91,4.7,6.2
2015-01-07,Davanagere,20.7,13.5,18.4,17.9,94,13.9,10.0
2015-01-07,Shivamogga,25.0,17.4,22.5,8.3,84,3.0,5.9
2015-01-07,Dharwad,26.1,16.4,22.7,10.6,83,3.0,10.9
2015-01-07,Belagavi,26.6,18.4,25.0,3.3,44,3.4,3.7
2015-01-08,Koppal,27.3,19.8,24.9,4.0,48,3.5,11.6
2015-01-08,Ballari,25.0,13.3,20.0,12.5,44,4.8,9.1
2015-01-08,Raichur,25.0,18.0,22.5,5.1,46,13.0,10.2
